step,avg_waiting_time,max_waiting_time,throughput,conflict_count
377,10.0,10.0,50,0
378,11.0,11.0,50,0
379,12.0,12.0,50,0
380,13.0,13.0,50,0
381,14.0,14.0,50,0
382,15.0,15.0,50,0
383,16.0,16.0,50,0
384,17.0,17.0,50,0
385,18.0,18.0,50,0
386,19.0,19.0,50,0
387,20.0,20.0,50,0
388,21.0,21.0,50,0
389,22.0,22.0,50,0
390,23.0,23.0,50,0
391,24.0,24.0,50,0
392,25.0,25.0,50,0
393,26.0,26.0,50,0
394,27.0,27.0,50,0
395,28.0,28.0,50,0
396,29.0,29.0,50,0
397,30.0,30.0,50,0
398,31.0,31.0,50,0
399,32.0,32.0,50,0
400,33.0,33.0,50,0
401,34.0,34.0,50,0
402,35.0,35.0,50,0
403,36.0,36.0,50,0
404,37.0,37.0,50,0
405,0.0,0.0,50,0
406,0.0,0.0,50,0
407,0.0,0.0,50,0
408,0.0,0.0,50,0
409,0.0,0.0,50,0
410,0,0,50,0
